,Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State,Market Cap
162,SPFX,STANDARD PREMIM FIN HLDG,OTCQX U.S.,9.5,,0,Common Stock,USA,Florida,
163,LBNW,LIBERTY NORTHWEST BANCORP,OTCQX U.S.,6.95,,0,Common Stock,USA,Washington,
164,MANA,GRAYSCALE DECENTRALAND TR,OTCQX U.S.,7.0,16.6667,536,Common Stock,USA,Connecticut,
165,FSUN,FIRSTSUN CAP BANCORP,OTCQX U.S.,30.91,-0.1292,400,Common Stock,USA,Colorado,
166,STRW,STRAWBERRY FIELDS REIT,OTCQX U.S.,10.0,,0,Common Stock,USA,Indiana,
167,FTFI,FIRST BERLN BNCRP CMT CAP,OTCQX U.S.,0.0,,0,Common Stock,USA,Wisconsin,
168,AWCMF,ALUMINA LTD,OTCQX International Premier,0.895,,0,Foreign Ordinary Shares,Australia,Victoria,
169,AWCMY,ALUMINA LTD S/ADR,OTCQX International Premier,3.35,-4.5584,13537,ADRs,Australia,Victoria,
170,FSUGY,FORTESCUE METAL GRP S/ADR,OTCQX International Premier,20.65,-3.6847,133693,ADRs,Australia,Western Australia,
171,FSUMF,FORTESCUE METAL GROUP LTD,OTCQX International Premier,10.54,0.0,16283,Foreign Ordinary Shares,Australia,Western Australia,
172,PBTHF,POINTSBET HOLDINGS LTD,OTCQX International Premier,1.2625,-5.4307,44432,Foreign Ordinary Shares,Australia,Victoria,
173,SLVYY,SOLVAY SA UNSP/ADR,OTCQX International Premier,7.525,-1.5697,8987,ADRs,Belgium,,
174,SVYSF,SOLVAY SA ACT,OTCQX International Premier,82.78,,0,Foreign Ordinary Shares,Belgium,,
175,LZRFY,LOCALIZA RENT A CAR S/ADR,OTCQX International Premier,11.47,-4.971,4811,ADRs,Brazil,,
176,JBSAY,JBS S A S/ADR,OTCQX International Premier,9.5,-6.3116,712274,ADRs,Brazil,,
177,BDRAF,BOMBARDIER INC A,OTCQX International Premier,21.1,2.4769,946,Foreign Ordinary Shares,Canada,Quebec,
178,BDRBF,BOMBARDIER INC B,OTCQX International Premier,19.89,2.4466,14599,Foreign Ordinary Shares,Canada,Quebec,
179,ACDVF,AIR CANADA INC VTG & VAR,OTCQX International Premier,13.111,1.754,26386,Foreign Ordinary Shares,Canada,Quebec,
180,ARESF,ARTIS RL EST I/T TR UT,OTCQX International Premier,7.0592,-0.7145,13700,Units,Canada,Manitoba,
181,IVPAF,IVANHOE MINES LTD A,OTCQX International Premier,5.92,-0.1686,94270,Foreign Ordinary Shares,Canada,British Columbia,
182,YZCAY,YANKUANG ENERGY GP S/ADR,OTCQX International Premier,36.16,-2.56,1136,ADRs,China,,
183,CIBEY,COMML INTL BK S/ADR,OTCQX International Premier,1.73,-3.8889,42073,ADRs,Egypt,,
184,CMGGF,COMML INTL BK LTD S/GDR,OTCQX International Premier,2.13,,0,New York Registry Shs,Egypt,,
185,DANOY,DANONE S/ADR,OTCQX International Premier,9.31,-2.7168,849876,ADRs,France,,
186,GPDNF,GROUPE DANONE,OTCQX International Premier,46.3,-4.3193,5015,Foreign Ordinary Shares,France,,
187,AXAHF,AXA SA ORD,OTCQX International Premier,22.41,-1.5378,500,Foreign Ordinary Shares,France,,
188,AXAHY,AXA S/ADR,OTCQX International Premier,22.61,-3.4586,216981,ADRs,France,,
189,BNPQF,BNP PARIBAS ORD,OTCQX International Premier,44.8,,23,Foreign Ordinary Shares,France,,
190,BNPQY,BNP PARIBAS SPONS ADR,OTCQX International Premier,22.29,-2.022,727714,ADRs,France,,
191,PGPEF,PUBLICIS GROUPE ACT,OTCQX International Premier,50.46,,0,Foreign Ordinary Shares,France,,
192,PUBGY,PUBLICIS GROUP SA S/ADR,OTCQX International Premier,11.78,-0.6745,166786,ADRs,France,,
193,BASFY,BASF SE S/ADR,OTCQX International Premier,9.61,-1.2333,854718,ADRs,Germany,,
194,BFFAF,BASF SE ORD,OTCQX International Premier,38.3,-3.038,19779,Foreign Ordinary Shares,Germany,,
195,DTEGF,DEUTSCHE TELEKOM AG REG,OTCQX International Premier,17.26,-2.5079,2446,Foreign Ordinary Shares,Germany,,
196,DTEGY,DEUTSCHE TELEKOM AG S/ADR,OTCQX International Premier,17.27,-3.2493,556239,ADRs,Germany,,
197,DLAKF,DEUTSCHE LUFTHANSA AG REG,OTCQX International Premier,5.56,0.09,17000,Foreign Ordinary Shares,Germany,,
198,DLAKY,DEUTSCHE LUFTHANSA S/ADR,OTCQX International Premier,5.528,0.5091,106428,ADRs,Germany,,
199,ADDDF,ADIDAS AG ORD,OTCQX International Premier,123.35,-0.46,1048,Foreign Ordinary Shares,Germany,,
200,ADDYY,ADIDAS AG S/ADR,OTCQX International Premier,61.75,-2.6102,841436,ADRs,Germany,,
201,IFNNF,INFINEON TECHS AG,OTCQX International Premier,22.21,-1.1791,670,Foreign Ordinary Shares,Germany,,
202,IFNNY,INFINEON TECHS AG S/ADR,OTCQX International Premier,22.05,-1.738,325744,ADRs,Germany,,
203,BOSSY,HUGO BOSS AG S/ADR,OTCQX International Premier,9.89,-5.8991,258,ADRs,Germany,,
204,KPLUF,K PLUS S AG ORD,OTCQX International Premier,22.55,,0,Foreign Ordinary Shares,Germany,,
205,KPLUY,K PLUS S AG S/ADR,OTCQX International Premier,9.01,-4.3524,746,ADRs,Germany,,
206,STWRY,SOFTWARE AG S/ADR,OTCQX International Premier,5.7,-0.7833,236,ADRs,Germany,,
207,SWDAF,SOFTWARE AG,OTCQX International Premier,23.13,,0,Foreign Ordinary Shares,Germany,,
208,EXPGF,EXPERIAN PLC ORD,OTCQX International Premier,28.5,0.688,630,Foreign Ordinary Shares,Ireland,,
