Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State,Market Cap,SIC Code
SRNN,STHN BANC CO INC,Pink Current,11.7,,0,Common Stock,USA,Alabama,"9,431,206",6035 - Federal savings institutions
UBOH,UNITED BNCSHS CLMBUS GRVE,OTCQX U.S. Premier,20.5,1.99,226,Common Stock,USA,Ohio,"67,310,889",6021 - National commercial banks
GSAC,GELSTAT CORP,Pink Current,0.0022,,0,Common Stock,USA,Florida,"1,396,223",2834 - Pharmaceutical preparations
BDRL,BLONDER TONGUE LABS INC,OTCQB,0.17,-10.5263,6201,Common Stock,USA,New Jersey,"2,275,813",3663 - Radio and TV communications equipment
NICH,NITCHES INC,Pink Current,0.00745,-12.3529,1802,Common Stock,USA,Nevada,"422,859","8700 - Services-Engineering, Accounting, Research, Management"
CRZY,CRAZY WOMAN CREEK BANCORP,Pink Current,26.45,-0.1887,101,Common Stock,USA,Wyoming,"14,018,844",.
AMFC,AMB FINANCIAL CORP,Pink Current,23.0,,0,Common Stock,USA,Indiana,"21,214,142",.
USBL,U S BASKETBALL LEAGUE INC,OTCQB,0.3475,,0,Common Stock,USA,Florida,"3,073,758",.
ALJJ,ALJ REGIONAL HOLDINGS INC,Pink Current,1.75,-0.0799,45107,Common Stock,USA,New York,"67,655,578",.
FFDF,FFD FINANCIAL CORP,Pink Current,38.05,-4.875,501,Common Stock,USA,Ohio,"112,407,538",.
KLIB,KILLBUCK BANCSHARES INC,Pink Current,165.5,,0,Common Stock,USA,Ohio,"90,597,348",6021 - National commercial banks
MOVAA,MOVADO GROUP INC A,Pink Current,0.0,,0,Common Stock,USA,New Jersey,Not Available,"3873 - Watches, clocks, watch cases and parts"
SCIA,SCI ENGINEERED MTRLS INC,OTCQB,3.38,-3.4286,7600,Common Stock,USA,Ohio,"15,268,538",3620 - Electrical Industrial Apparatus
AIMH,AIMRITE HOLDINGS CORP,Pink Current,0.017,,0,Common Stock,USA,California,"2,268,577",6770 - Blank Checks
EBSH,EMPIRE BANCSHARES INC,Pink Current,21.55,,0,Common Stock,USA,Ohio,"14,223,172",6022 - State commercial banks
SQCF,SUSQUEHANNA CMMTY FNCL,Pink Current,18.89,-0.264,200,Common Stock,USA,Pennsylvania,"53,672,421",6022 - State commercial banks
ECIA,ENCISION INC,Pink Current,0.5,,0,Common Stock,USA,Colorado,"5,879,772",3841 - Surgical and medical instruments
FXLG,F S BANCORP LAGRANGE IN,Pink Current,30.5,0.0,427,Common Stock,USA,Indiana,"132,134,662",6022 - State commercial banks
